vehicle_id,date,avg_speed,harsh_braking,acceleration
1,2021-01-31,50.52566006053108,2,0.06483421878619122
1,2021-02-28,60.506102350245634,1,0.4693232970434701
1,2021-03-31,47.586229362366595,1,0.6793166653135535
1,2021-04-30,48.82002876358729,3,0.2504434017536037
1,2021-05-31,65.64220775367284,3,0.14752383417734682
1,2021-06-30,33.862019143909805,0,0.13623365154572564
1,2021-07-31,55.21603704143998,0,0.01857071876509886
1,2021-08-31,65.54570677451821,4,0.9292806516858091
1,2021-09-30,58.69737803513014,4,0.6671903446425609
1,2021-10-31,39.793582032380826,1,0.5212677538240658
1,2021-11-30,36.88399410599449,3,0.8511108258475547
1,2021-12-31,47.09617708910403,3,0.20518283339516075
1,2022-01-31,61.54207368033026,4,0.6293549426289384
1,2022-02-28,69.03932477569799,1,0.8908267535742685
1,2022-03-31,69.05960136176996,4,0.622515868412716
1,2022-04-30,42.602259864303974,0,0.7053805596474173
1,2022-05-31,41.66310867039723,1,0.7250960188976509
1,2022-06-30,68.60126491639676,4,0.8679644466821582
1,2022-07-31,55.23881779480233,1,0.7067905043968145
1,2022-08-31,61.61629903531952,4,0.41573424832338735
1,2022-09-30,45.18523469942537,4,0.33060080997000185
1,2022-10-31,64.4204594634978,2,0.451741753515442
1,2022-11-30,68.74765800852173,3,0.773090141617112
1,2022-12-31,43.306919461212956,0,0.016921343464943117
2,2021-01-31,44.59828750672901,1,0.21400711317387422
2,2021-02-28,49.02106086504774,3,0.7261821349464612
2,2021-03-31,50.39729981630594,0,0.16007410548673062
2,2021-04-30,61.49303349829581,4,0.8390491680793574
2,2021-05-31,67.25688776344877,4,0.2529118055562871
2,2021-06-30,31.619512973132178,1,0.9224356110037699
2,2021-07-31,56.65080547683391,2,0.21306055101753552
2,2021-08-31,40.84251960561455,4,0.6801096984332773
2,2021-09-30,56.76320067449133,0,0.9262081744006837
2,2021-10-31,33.5375034934201,3,0.47108285070451317
2,2021-11-30,45.918122248053336,1,0.3603211376915627
2,2021-12-31,62.52573561197346,2,0.43233389987866533
2,2022-01-31,69.1704746243457,4,0.49677011312716357
2,2022-02-28,31.64872183806798,2,0.6237422454995412
2,2022-03-31,63.207318664707756,0,0.8004108624936782
2,2022-04-30,53.39966994807674,1,0.37473102253575985
2,2022-05-31,67.0211728658758,3,0.6672132917419075
2,2022-06-30,69.65726766232352,4,0.1640307314593894
2,2022-07-31,68.22070825668963,2,0.6575683057846125
2,2022-08-31,65.32477626699101,3,0.3540196380320112
2,2022-09-30,62.83638536282464,3,0.5441821542313008
2,2022-10-31,36.174470795836015,2,0.8206273934190368
2,2022-11-30,35.11799763679059,1,0.25858422155277383
2,2022-12-31,58.9681965123348,1,0.04654152121906807
3,2021-01-31,30.173762711363597,4,0.30948157919486696
3,2021-02-28,69.05652889536225,0,0.9127010103571104
3,2021-03-31,37.712111787064266,4,0.709272011669813
3,2021-04-30,51.28444535348015,1,0.5546936856470578
3,2021-05-31,33.213474662779504,0,0.1908094914463071
3,2021-06-30,52.11367183939073,0,0.25379764255599213
3,2021-07-31,46.8991500224564,1,0.9738777670436397
3,2021-08-31,32.385020975490754,0,0.23273024187005353
3,2021-09-30,49.65396361075141,4,0.2900922649507479
3,2021-10-31,54.53781890271961,4,0.08900317798267965
3,2021-11-30,57.75968433557102,3,0.786367385961698
3,2021-12-31,40.00227034040613,3,0.3504702023179279
3,2022-01-31,64.35255658699427,1,0.5656448823847886
3,2022-02-28,35.68246437772249,1,0.8295224152883747
3,2022-03-31,69.00275690394868,1,0.008031863875622935
3,2022-04-30,49.68326821553661,3,0.20125036455116962
3,2022-05-31,41.386975677872705,0,0.43550502745325925
3,2022-06-30,32.89394039589942,1,0.7693957768408022
3,2022-07-31,36.26837183051676,2,0.9576634748089732
3,2022-08-31,64.70821839066753,0,0.33038093432963755
3,2022-09-30,47.923006063265376,3,0.3662530059984742
3,2022-10-31,54.06194025518825,3,0.12450525436569226
3,2022-11-30,68.82400271429835,0,0.1829239984213129
3,2022-12-31,35.24861931726746,2,0.49350036407261666
4,2021-01-31,37.13593007714324,4,0.2430019141287858
4,2021-02-28,61.818476848858694,1,0.788581765108471
4,2021-03-31,58.32095135991647,0,0.34643284897091586
4,2021-04-30,30.76995855395576,4,0.975604968589112
4,2021-05-31,64.73295854601471,4,0.49714046375220133
4,2021-06-30,62.373713149548095,4,0.5453628521336417
4,2021-07-31,32.048253967613164,1,0.3330392353633942
4,2021-08-31,45.998484983357514,0,0.9692491388225086
4,2021-09-30,54.347368824140034,2,0.19566629562534243
4,2021-10-31,68.9190952168122,1,0.26927042430520765
4,2021-11-30,53.6235863095434,1,0.17675686742346075
4,2021-12-31,64.59975892118139,3,0.950343476513905
4,2022-01-31,32.89689251442739,3,0.937987865459497
4,2022-02-28,63.02685783917912,1,0.38279283107990936
4,2022-03-31,36.29094136305573,3,0.559301872076827
4,2022-04-30,37.496451519351076,2,0.60102587748869
4,2022-05-31,43.09506720461597,0,0.2929057467017291
4,2022-06-30,43.8444394837646,2,0.8386571544924571
4,2022-07-31,34.143062644120604,4,0.2966208618339182
4,2022-08-31,65.57787033406709,0,0.6703536396617991
4,2022-09-30,69.59922459956724,2,0.5007349061441984
4,2022-10-31,48.237847430746456,4,0.6937412986983286
4,2022-11-30,60.38247335655633,1,0.15401632537436627
4,2022-12-31,40.6062491882126,2,0.6135278841635731
5,2021-01-31,67.80149861454417,0,0.0010222995944479951
