vehicle_id,date,avg_speed,harsh_braking,acceleration,claim_made,claim_cost,temperature,precipitation,vehicle_type,vehicle_age,mileage,driver_id,age,experience,accidents
1,2021-01-31,50.52566006053108,2,0.0648342187861912,0,0,6.636871853259493,8.19032020836373,truck,3,14747,1,40,10,0
1,2021-02-28,60.506102350245634,1,0.4693232970434701,0,0,4.53720750121104,5.727679028775595,truck,3,14747,1,40,10,0
1,2021-03-31,47.586229362366595,1,0.6793166653135535,1,1151,4.336825608665915,0.2823105294906813,truck,3,14747,1,40,10,0
1,2021-04-30,48.82002876358729,3,0.2504434017536037,0,0,13.918415692928622,0.8677328205899493,truck,3,14747,1,40,10,0
1,2021-05-31,65.64220775367284,3,0.1475238341773468,0,0,7.394867623073095,6.495532494062001,truck,3,14747,1,40,10,0
1,2021-06-30,33.862019143909805,0,0.1362336515457256,0,0,15.34066927465503,4.01165160327027,truck,3,14747,1,40,10,0
1,2021-07-31,55.21603704143998,0,0.0185707187650988,0,0,11.545552114555193,5.673096308415861,truck,3,14747,1,40,10,0
1,2021-08-31,65.54570677451821,4,0.9292806516858092,0,0,6.326709147029738,2.310776226221287,truck,3,14747,1,40,10,0
1,2021-09-30,58.69737803513014,4,0.6671903446425609,0,0,22.535753686719428,6.49417173643192,truck,3,14747,1,40,10,0
1,2021-10-31,39.793582032380826,1,0.5212677538240658,0,0,4.5109167100746825,2.428295441933406,truck,3,14747,1,40,10,0
1,2021-11-30,36.88399410599449,3,0.8511108258475547,0,0,23.967069444613117,4.60812797975354,truck,3,14747,1,40,10,0
1,2021-12-31,47.09617708910403,3,0.2051828333951607,0,0,16.843391510708766,4.78719899591182,truck,3,14747,1,40,10,0
1,2022-01-31,61.54207368033026,4,0.6293549426289384,0,0,24.961114280293323,1.776682298391592,truck,3,14747,1,40,10,0
1,2022-02-28,69.03932477569799,1,0.8908267535742685,0,0,0.1427712020971505,8.762077263876396,truck,3,14747,1,40,10,0
1,2022-03-31,69.05960136176996,4,0.622515868412716,0,0,22.47565557106449,5.2582105627312,truck,3,14747,1,40,10,0
1,2022-04-30,42.602259864303974,0,0.7053805596474173,0,0,1.5454677975334596,8.66783777938346,truck,3,14747,1,40,10,0
1,2022-05-31,41.66310867039723,1,0.7250960188976509,0,0,28.502961571134623,2.6253569549592406,truck,3,14747,1,40,10,0
1,2022-06-30,68.60126491639676,4,0.8679644466821582,0,0,21.08218465171605,1.7233594546814055,truck,3,14747,1,40,10,0
1,2022-07-31,55.23881779480233,1,0.7067905043968145,1,2594,9.60516871864074,0.1801664762012966,truck,3,14747,1,40,10,0
1,2022-08-31,61.61629903531952,4,0.4157342483233873,0,0,9.595514785372488,0.9386465972650726,truck,3,14747,1,40,10,0
1,2022-09-30,45.18523469942537,4,0.3306008099700018,0,0,25.844771391558755,1.474706048866119,truck,3,14747,1,40,10,0
1,2022-10-31,64.4204594634978,2,0.451741753515442,0,0,27.08520385357976,0.7885556237796953,truck,3,14747,1,40,10,0
1,2022-11-30,68.74765800852173,3,0.773090141617112,0,0,26.74719843116231,8.968792951421875,truck,3,14747,1,40,10,0
